type_batiment,type_installation_chauffage,type_installation_ecs,hauteur_sous_plafond,etiquette_dpe,etiquette_ges,surface_habitable_logement,nombre_niveau_logement,code_postal_ban,qualite_isolation_enveloppe,cout_total_5_usages_energie_n1,conso_5 usages_ef,conso_5_usages_ep,type_energie_principale_chauffage
appartement,collectif,collectif,2.5,D,D,32.0,1.0,75013.0,insuffisante,564.9,7643.1,8248.7,Réseau de Chauffage urbain
appartement,individuel,individuel,2.5,E,B,74.2,2.0,54160.0,insuffisante,1664.0,9978.0,22949.4,Électricité
appartement,individuel,individuel,2.8,D,D,38.6,1.0,75007.0,insuffisante,731.0,7969.2,8350.1,Gaz naturel
maison,individuel,individuel,2.3,D,B,57.2,3.0,44390.0,bonne,1027.5,5932.8,13645.4,Électricité
appartement,individuel,individuel,2.5,D,B,32.2,1.0,93370.0,insuffisante,674.4,3639.9,8371.7,Électricité
appartement,individuel,individuel,2.5,C,A,37.8,1.0,32000.0,bonne,571.9,2964.7,6818.9,Électricité
maison,individuel,individuel,2.6,D,D,120.0,1.0,71420.0,moyenne,1488.6,17242.2,18489.1,Fioul domestique
appartement,individuel,individuel,2.7,E,B,33.0,1.0,89000.0,insuffisante,832.3,4680.4,10764.9,Électricité
maison,individuel,individuel,2.5,E,E,115.0,2.0,56760.0,insuffisante,1661.8,32794.6,34139.0,Fioul domestique
maison,individuel,individuel,2.5,E,B,77.0,1.0,68570.0,moyenne,1631.8,11674.2,21915.6,Électricité
maison,individuel,individuel,2.5,C,A,144.4,2.0,85570.0,bonne,1631.6,10866.9,23570.5,Électricité
maison,individuel,individuel,2.5,F,C,90.1,2.0,43110.0,moyenne,758.0,14060.5,32339.2,Électricité
appartement,individuel,individuel,2.5,D,B,50.7,1.0,35630.0,insuffisante,859.6,4860.2,11178.4,Électricité
maison,individuel,individuel,2.5,E,B,66.2,2.0,50420.0,bonne,1448.5,8607.9,19798.1,Électricité
appartement,individuel,individuel,2.5,E,C,42.0,1.0,25300.0,insuffisante,667.0,6870.1,15801.3,Électricité
maison,individuel,individuel,2.5,D,A,148.0,2.0,65410.0,bonne,1062.0,22676.3,29111.6,Bois – Granulés (pellets) ou briquettes
maison,individuel,individuel,2.3,D,B,136.1,3.0,67110.0,très bonne,2243.3,13659.5,31416.8,Électricité
appartement,individuel,individuel,2.5,D,B,48.2,7.0,92190.0,bonne,810.0,4960.3,11408.6,Électricité
appartement,individuel,individuel,2.4,D,B,144.4,1.0,74120.0,insuffisante,1367.0,12573.6,28919.2,Électricité
